LG LN272,Older Phone,11/15/2016,$5.00,1/1/2017,$14.22,$2.60,$1.14,$5.48,A1863
LG LN272,Older Phone,11/15/2016,$5.00,1/1/2017,$14.22,$2.60,$1.14,$5.48,A1864
LG Rumor 2,Older Phone,11/15/2016,$5.00,-,$18.10,$2.60,$1.45,$9.05,A1865
Blackberry 9650,Older Phone,11/15/2016,$7.20,-,$16.16,$2.60,$1.29,$5.07,A1866
Pantech CDM8992,Older Phone,11/15/2016,$6.00,-,$20.04,$2.60,$1.60,$9.84,A1867
LG Rumor 2,Older Phone,11/15/2016,$5.00,-,$15.19,$2.60,$1.22,$6.37,A1868
Sony Ericsson W580,Older Phone,11/15/2016,$5.00,12/7/2016,$21.98,$2.60,$1.76,$12.62,A1869
Sony Ericsson W580,Older Phone,11/15/2016,$5.00,12/25/2016,$17.13,$2.60,$1.37,$8.16,A1870
Nokia 6085,Older Phone,11/15/2016,$6.00,12/31/2016,$12.27,$2.60,$0.98,$2.69,A1871
Motorola RAZR V3M,Older Phone,11/15/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A1872
Samsung SGH-A687,Older Phone,11/15/2016,$5.00,1/7/2017,$19.07,$2.60,$1.53,$9.94,A1873
LG VN530,Older Phone,11/15/2016,$5.00,1/10/2017,$13.25,$2.60,$1.06,$4.59,A1874
LG VX9200,Older Phone,11/15/2016,$5.00,3/19/2017,$19.07,$2.60,$1.53,$9.94,A1875
Samsung SCH-U460,Older Phone,11/15/2016,$5.00,1/11/2017,$18.10,$2.60,$1.45,$9.05,A1877
Motorola RAZR V3M,Older Phone,11/15/2016,$5.00,12/27/2016,$19.07,$2.60,$1.53,$9.94,A1878
Blackberry 9650,Older Phone,11/15/2016,$7.20,1/4/2017,$16.16,$2.60,$1.29,$5.07,A1879
Blackberry 9650,Older Phone,11/15/2016,$7.20,1/12/2017,$19.07,$2.60,$1.53,$7.74,A1880
LG VX9200,Older Phone,11/15/2016,$5.00,-,$23.20,$5.60,$1.86,$10.74,A1881
Nokia 6555,Older Phone,11/15/2016,$5.00,3/22/2017,$18.10,$2.60,$1.45,$9.05,A1882
